IngID,ingredient,frequency,generic_name,wikilink,wikiimage,FlavorDB_Category,Dietrx_Category,Flavor_DB_Link,flavordb_id,Diet_rx_link
12,pepper,12702,Pepper,https://en.wikipedia.org/wiki/Black_pepper,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Spilled_Pepper.jpg/200px-Spilled_Pepper.jpg,,Spice,Pepper~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=339,339,
13,salt pepper,10669,Pepper,NF,NF,MISC-Mixed,Spice,Pepper~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=339,339,
14,flour,10400,Flour,https://en.wikipedia.org/wiki/Flour,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flours.jpg/440px-Flours.jpg,,Cereal,Flour~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=920,920,coconut palm~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A13894
15,cinnamon,10118,Cinnamon,https://en.wikipedia.org/wiki/Cinnamon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Cinnamomum_verum_spices.jpg/440px-Cinnamomum_verum_spices.jpg,,Additive,Cinnamon~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=330,330,cinnamon~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A128608||batavia cinnamon~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A119261||chinese cinnamon~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A119260||saigon cinnamon~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A688535
16,parsley,10045,Parsley,https://en.wikipedia.org/wiki/Parsley,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Petroselinum.jpg/220px-Petroselinum.jpg,,Spice,Parsley~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=338,338,parsley~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A4043||fool parsley~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A13447
17,lemon juice,9776,Lemon,https://en.wikipedia.org/wiki/Lemonade,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/LemonadeJuly2006.JPG/220px-LemonadeJuly2006.JPG,,Beverage,Lemon~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=240,240,lemon~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A2708
18,purpose flour,9505,Flour,https://en.wikipedia.org/wiki/Flour,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flours.jpg/440px-Flours.jpg,,Cereal,Flour~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=920,920,coconut palm~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A13894
19,vegetable oil,9486,Cooking Oil,https://en.wikipedia.org/wiki/List_of_vegetable_oils,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Olive_oil_from_Oneglia.jpg/800px-Olive_oil_from_Oneglia.jpg,MISC-Oil,Additive,Cooking Oil~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=901,901,tung oil tree~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A73154||african oil palm~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A51953
20,cumin,9204,Cumin,https://en.wikipedia.org/wiki/Cumin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/4622_-_Cumino_al_mercato_di_Ortigia%2C_Siracusa_-_Foto_Giovanni_Dall%27Orto%2C_20_marzo_2014.jpg/220px-4622_-_Cumino_al_mercato_di_Ortigia%2C_Siracusa_-_Foto_Giovanni_Dall%27Orto%2C_20_marzo_2014.jpg,,Spice,Cumin~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=332,332,cumin~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A52462
21,carrot,9165,Carrot,https://en.wikipedia.org/wiki/Carrot,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/13-08-31-wien-redaktionstreffen-EuT-by-Bi-frie-037.jpg/220px-13-08-31-wien-redaktionstreffen-EuT-by-Bi-frie-037.jpg,,Vegetable,Carrot~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=368,368,carrot~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A4039
